,time,expect,testMAE,max_trainMAE,anomaly
52015,333.542254,17.227913817828075,17.864050640891215,0.3,True
52016,333.542453,17.42789883631124,17.733365035618956,0.3,True
52017,333.542602,16.47738180728538,17.834875227587087,0.3,True
52018,333.542925,15.804491039212623,17.795573025768455,0.3,True
52019,333.543259,15.804491039212623,17.844747030055217,0.3,True
52020,333.543287,15.804491039212623,17.88737025340987,0.3,True
52021,333.543321,16.392682270045455,17.92453203032033,0.3,True
52022,333.543608,15.338643584393022,17.973046985816094,0.3,True
52023,333.999435,15.338643584393022,17.86757316516662,0.3,True
52024,334.033428,16.30484571290775,17.87802559462015,0.3,True
52025,334.033867,15.338643584393022,17.92940265984063,0.3,True
52026,334.035092,15.338643584393022,17.939666913456964,0.3,True
52027,334.035423,16.47738180728538,17.946293265131363,0.3,True
52028,334.068946,16.47738180728538,18.002713723022673,0.3,True
52029,334.069636,15.804491039212623,18.066216380964338,0.3,True
52030,334.070761,16.30484571290775,18.103166752120707,0.3,True
52031,334.070828,16.30484571290775,18.036281729881978,0.3,True
52032,334.071228,16.30484571290775,17.958221401593843,0.3,True
52033,334.079818,16.30484571290775,17.945618995556313,0.3,True
52034,334.080132,16.30484571290775,17.978669892030805,0.3,True
52035,334.113975,16.30484571290775,18.01220584315719,0.3,True
52036,334.114931,14.806246493170617,18.046142448758477,0.3,True
52037,334.115656,17.058695725265398,17.96954940853552,0.3,True
52038,334.115942,17.058695725265398,18.05854281601814,0.3,True
52039,334.298979,17.058695725265398,18.156481013069342,0.3,True
52040,334.334255,17.058695725265398,18.19830971889247,0.3,True
52041,334.334638,17.058695725265398,18.308161541342944,0.3,True
52042,334.335796,17.058695725265398,18.420247202828445,0.3,True
52043,334.336114,17.058695725265398,18.45791183548962,0.3,True
52044,334.376998,17.058695725265398,18.496384365400655,0.3,True
52045,334.377555,17.058695725265398,18.58001741046256,0.3,True
52046,334.382794,17.058695725265398,18.630519553722113,0.3,True
52047,334.382873,17.058695725265398,18.681120775795854,0.3,True
52048,334.38328,17.058695725265398,18.731780855469488,0.3,True
52049,334.428606,17.058695725265398,18.782464753159175,0.3,True
52050,334.429558,17.058695725265398,18.833071029706794,0.3,True
52051,334.429878,17.058695725265398,18.88350081292759,0.3,True
52052,334.430101,15.804491039212623,19.033514646354572,0.3,True
52053,334.43032,17.058695725265398,18.97530399159469,0.3,True
52054,354.46027,15.804491039212623,18.965634051917775,0.3,True
52055,354.461032,15.804491039212623,18.900770032658478,0.3,True
52056,354.482761,15.804491039212623,18.82894656712792,0.3,True
52057,357.464986,15.804491039212623,18.751246194884523,0.3,True
52058,357.465513,17.058695725265398,18.670251990497967,0.3,True
52059,357.48831,15.804491039212623,18.645856421332425,0.3,True
52060,384.419609,16.47738180728538,18.57229583008725,0.3,True
52061,384.420147,16.47738180728538,18.527142350647207,0.3,True
52062,384.442365,16.47738180728538,18.483568926761873,0.3,True
52063,387.422361,16.47738180728538,18.44208014751206,0.3,True
52064,387.422811,16.47738180728538,18.40168097295788,0.3,True
52065,387.444447,16.47738180728538,18.36206652931496,0.3,True
52066,414.416569,16.47738180728538,18.32302217628381,0.3,True
